[0.26787228182160316, 0.0]
[0.24985073815401648, 0.0]
[0.1198479361276544, 0.0]
[0.16456974211140096, 0.0]
[0.23035046199799764, 0.03721409104034743]
[0.1888342576071521, 0.0]
[0.2602065252030846, 0.0]
[0.20804943811545348, 0.0]
[0.16769668514076996, 0.0]
[0.15321389076678882, 0.0]
[0.1335393084991417, 0.0]
[0.312168094495596, 0.0]
[0.1472846994894373, 0.0]
[0.1441736321373528, 0.0]
[0.38637551372316553, 0.0]
[0.3395875183724778, 0.0]
[0.3438342693233883, 0.0]
[0.32384871015587513, 0.0]
[0.14565855233986236, 0.0]
[0.44203608362731195, 0.0]
[0.4006024397167236, 0.0]
[0.23543234438343738, 0.0]
[0.23680953778697442, 0.0]
[0.49609375056310867, 0.0]
[0.49185937405011515, 0.0]
[0.2757929725156296, 0.0]
[0.27637037224807653, 0.0]
[0.3783728978361489, 0.0]
[0.9236774766175508, 0.0]
[0.3201467294350009, 0.0]
[0.40781782078536044, 0.0]
[0.524024318117275, 0.0]
[0.3600547178907928, 0.0]
[0.5408487236095217, 0.0]
[0.8250199239253175, 0.0]
[0.5405129052094673, 0.0]
[0.6369845437870375, 0.0]
[0.3648828467708223, 0.0]
[0.36673183312141366, 0.0]
[0.6461178597449118, 0.0]
[0.7698899325657106, 0.0]
[0.29183569658925873, 0.009892713455059803]
[0.7231084057336572, 0.0]
[0.6873075385485968, 0.0]
[0.6835278650188659, 0.0]
[0.42048743411830813, 0.0]
[0.42534410121890387, 0.0]
[0.426620096942097, 0.0]
[0.881719470396594, 0.0]
[0.42810954082825925, 0.0]
[0.8812938753230031, 0.0]
[0.8505868750423933, 0.0]
[0.8583584975701362, 0.0]
[0.7550154201268341, 0.0]
[0.7419863165365571, 0.0]
[0.7511482707794224, 0.0]
[0.2946724077950755, 0.0]
[0.6717887459908782, 0.0]
[0.29453481865036485, 0.0]
[0.2938020682091205, 0.0]
[0.29337463469517117, 0.0]
[0.6619466911770181, 0.0]
[1.0, 0.0]
[1.0, 0.0]
[1.0, 0.0]
[1.0, 0.0]
[1.0, 0.0]
[1.0, 0.0]
[1.0, 0.0]
[1.0, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
[0.1, 0.0]
