[1.0, 0.0]
[0.3189621091581691, 0.0]
[0.31509538742919024, 0.0]
[0.1, 0.0]
[0.1585277716178437, 0.0]
[0.24812269172664242, 0.012746513890588125]
[0.10928763137681462, 0.021121310106885754]
[0.49928539200424, 0.0]
[0.3984598667354417, 0.0]
[0.4215450928219439, 0.0]
[0.27584916132273807, 0.0]
[0.14085870784468948, 0.004053604628270586]
[0.30207556424187093, 0.0]
[0.12454808742292275, 0.0]
[0.2605091642835071, 0.06269418874829]
[0.5772842428402299, 0.0]
[0.26384677658685596, 0.0]
[0.16739646954822787, 0.0]
[0.1882376499200365, 0.0]
[0.21267112665589566, 0.02804148413191416]
[0.3332730412355905, 0.0]
[0.2825828379050629, 0.0]
[0.1325242678810567, 0.0]
[0.29425805477473427, 0.0]
[0.5569494412431942, 0.0]
[0.3248396518080966, 0.0]
[0.6978172622117407, 0.0]
[0.28944162020007, 0.0]
[0.3414121514034931, 0.0]
[0.3110493929682591, 0.01033730764022718]
[0.1980963372357571, 0.0]
[0.6483440491005136, 0.0]
[0.6923857825311356, 0.012384976785547386]
[0.3538107594927731, 0.0]
[0.37880606627441243, 0.0]
[0.17360337164077513, 0.0286211450359381]
[0.36819901899552987, 0.014993866974550803]
[0.22856972772776202, 0.008098570724083699]
[0.7502817524651002, 0.0]
[0.1772609547683919, 0.0]
[0.1, 0.0]
[0.45355733729273945, 0.0]
[0.3880751781480907, 0.0]
[0.21991442707086561, 0.0]
[0.3720061040032887, 0.006560076138258589]
[0.1402241714642532, 0.017530248755674643]
[0.9466561304022645, 0.011487403870301368]
[0.5355946534573353, 0.0]
[0.22142099026049408, 0.0]
[0.844589492675779, 0.0]
