[1.0, 1.0]
[0.3189621091581691, 3.1351686337893923]
[0.31509538742919024, 3.1736421410634734]
[0.1, 10.0]
[0.1585277716178437, 6.308042999624434]
[0.24812269172664242, 4.081636011777328]
[0.10928763137681462, 9.343429784713193]
[0.49928539200424, 2.0028625231468977]
[0.3984598667354417, 2.509663038822307]
[0.4215450928219439, 2.3722254558953892]
[0.27584916132273807, 3.6251696224300636]
[0.14085870784468948, 7.128090410536337]
[0.30207556424187093, 3.3104299664546954]
[0.12454808742292275, 8.029027347520334]
[0.2605091642835071, 4.079296755916733]
[0.5772842428402299, 1.732248909272172]
[0.26384677658685596, 3.79007851805538]
[0.16739646954822787, 5.973841638947435]
[0.1882376499200365, 5.312433513831057]
[0.21267112665589566, 4.833949489510615]
[0.3332730412355905, 3.0005427270461418]
[0.2825828379050629, 3.538785325441321]
[0.1325242678810567, 7.545787771470814]
[0.29425805477473427, 3.398377661286241]
[0.5569494412431942, 1.7954951131073063]
[0.3248396518080966, 3.078441915677103]
[0.6978172622117407, 1.4330399291506308]
[0.28944162020007, 3.454928145125682]
[0.3414121514034931, 2.9290111552537104]
[0.3110493929682591, 3.2481571431432643]
[0.1980963372357571, 5.048048913745874]
[0.6483440491005136, 1.5423909595335374]
[0.6923857825311356, 1.4621689271039036]
[0.3538107594927731, 2.826369671271758]
[0.37880606627441243, 2.639873246579916]
[0.17360337164077513, 5.925121933486346]
[0.36819901899552987, 2.756644680215385]
[0.22856972772776202, 4.410464066023562]
[0.7502817524651002, 1.3328326281619325]
[0.1772609547683919, 5.641400280770201]
[0.1, 10.0]
[0.45355733729273945, 2.2047929066012886]
[0.3880751781480907, 2.5768203077868503]
[0.21991442707086561, 4.5472232691571355]
[0.3720061040032887, 2.705762258485307]
[0.1402241714642532, 7.256453991707625]
[0.9466561304022645, 1.0684845018016078]
[0.5355946534573353, 1.8670836117292546]
[0.22142099026049408, 4.516283658670006]
[0.844589492675779, 1.1840071521987072]
